key: 456, value: 1c8
key: 112, value: 70
key: 675, value: 2a3
key: 123, value: 7b
key: 789, value: 315
key: 9999, value: 270f
key: 145, value: 91
key: 103, value: 67
key: 346, value: 15a
key: 458, value: 1ca
key: 143, value: 8f
key: 436, value: 1b4
key: 110, value: 6e
key: 673, value: 2a1
key: 789, value: 315
key: 346, value: 15a
key: 473, value: 1d9
key: 438, value: 1b6
key: 110, value: 6e
key: 9459, value: 24f3
key: 143, value: 8f
key: 438, value: 1b6
key: 344, value: 158
key: 945, value: 3b1
key: 3, value: 3
